id,numrandom,fecha,det,id_asig
209,7888,2020-06-24 13:48:04,null,7
210,28406,2020-06-24 15:23:40,null,28
211,36948,2020-06-25 06:06:01,null,36
212,19627,2020-06-25 07:52:23,null,19
213,18711,2020-06-25 07:52:43,null,18
214,29605,2020-06-25 19:19:19,null,29
215,73791,2020-06-25 19:55:45,null,73
216,13266,2020-06-26 06:01:58,null,13
217,76400,2020-06-29 05:45:39,null,76
218,26972,2020-06-29 09:31:58,null,26
219,32400,2020-06-29 18:37:06,null,32
220,34190,2020-06-30 06:33:51,null,34
221,33708,2020-06-30 10:59:08,null,33
222,27289,2020-06-30 15:12:24,null,27
223,30410,2020-06-30 15:13:34,null,30
224,17213,2020-06-30 18:46:07,null,17
225,21490,2020-07-01 08:37:20,null,21
226,80405,2020-07-01 09:04:48,null,80
227,7390,2020-07-01 15:17:25,null,7
228,35256,2020-07-01 17:41:52,null,35
229,17101,2020-07-01 17:57:10,null,17
230,19682,2020-07-01 17:57:23,null,19
231,18113,2020-07-01 17:58:00,null,18
232,36284,2020-07-02 09:20:22,null,36
233,73282,2020-07-02 19:19:58,null,73
234,13444,2020-07-03 06:04:01,null,13
235,75613,2020-07-03 19:41:16,null,75
236,76405,2020-07-06 05:50:12,null,76
237,32824,2020-07-06 19:23:42,null,32
238,34750,2020-07-07 07:48:58,null,34
239,8805,2020-07-07 08:35:30,null,8
240,35445,2020-07-07 08:46:42,null,35
241,33133,2020-07-07 11:07:37,null,33
242,80155,2020-07-08 08:08:53,null,80
243,7587,2020-07-08 13:59:35,null,7
244,17399,2020-07-08 14:03:18,null,17
245,19841,2020-07-08 14:13:21,null,19
246,18729,2020-07-08 14:14:32,null,18
247,36749,2020-07-09 06:29:05,null,36
248,18518,2020-07-09 18:03:58,null,18
249,47892,2020-07-09 18:16:23,null,47
250,17668,2020-07-09 19:12:11,null,17
251,17876,2020-07-10 00:16:14,null,17
252,13615,2020-07-10 06:05:32,null,13
253,19148,2020-07-10 14:32:43,null,19
254,18360,2020-07-10 14:34:15,null,18
255,31991,2020-07-10 19:38:06,null,31
256,17791,2020-07-11 20:34:33,null,17
257,18726,2020-07-11 20:35:02,null,18
258,19650,2020-07-11 20:35:30,null,19
259,76500,2020-07-13 06:07:42,null,76
260,32782,2020-07-13 19:28:15,null,32
261,17253,2020-07-13 19:46:20,null,17
262,18356,2020-07-13 19:46:31,null,18
263,19739,2020-07-13 19:46:40,null,19
264,34938,2020-07-14 06:56:55,null,34
265,35448,2020-07-14 09:31:40,null,35
266,17104,2020-07-14 09:45:20,null,17
267,18153,2020-07-14 09:45:21,null,18
268,19631,2020-07-14 09:45:22,null,19
269,8424,2020-07-14 09:46:18,null,8
270,33231,2020-07-14 11:03:36,null,33
271,47987,2020-07-15 08:08:00,null,47
272,52115,2020-07-15 08:09:39,null,52
273,7118,2020-07-15 13:52:22,null,7
274,13961,2020-07-17 16:34:04,null,13
275,76847,2020-07-20 06:52:52,null,76
276,32504,2020-07-20 20:29:17,null,32
277,34530,2020-07-21 07:43:04,null,34
278,8163,2020-07-21 11:02:23,null,8
279,33282,2020-07-21 11:23:42,null,33
280,35545,2020-07-21 11:30:29,null,35
281,80488,2020-07-22 09:14:47,null,80
282,17236,2020-07-22 11:05:27,null,17
283,18419,2020-07-22 11:05:41,null,18
284,19661,2020-07-22 11:05:49,null,19
285,81304,2020-07-24 13:04:02,null,81
286,81354,2020-07-25 20:44:43,null,81
287,76430,2020-07-27 09:05:24,null,76
288,32699,2020-07-27 20:46:05,null,32
289,33139,2020-07-28 11:43:44,null,33
290,32952,2020-08-03 19:20:34,null,32
291,19898,2020-09-15 11:22:28,null,19
292,17841,2020-09-15 11:23:35,null,17
293,83683,2020-09-15 11:44:30,null,83
294,82567,2020-09-15 11:46:51,null,82
295,84245,2020-09-15 11:47:45,null,84
296,82146,2020-10-08 13:09:35,null,82
297,83685,2020-10-08 13:09:36,null,83
298,84107,2020-10-08 13:09:37,null,84
299,82110,2020-10-11 18:21:20,null,82
300,83106,2020-10-11 18:21:22,null,83
301,84868,2020-10-11 18:21:23,null,84
302,82379,2020-10-12 08:06:14,null,82
303,83270,2020-10-12 08:06:14,null,83
304,84721,2020-10-12 08:06:15,null,84
305,82690,2020-10-13 11:33:04,null,82
306,83867,2020-10-13 11:33:05,null,83
307,84517,2020-10-13 11:33:07,null,84
308,8717,2020-10-13 15:52:19,null,8
309,82739,2020-10-14 10:25:38,null,82
310,83692,2020-10-14 10:25:39,null,83
311,84285,2020-10-14 10:25:40,null,84
312,86691,2020-10-14 21:04:44,null,86
313,89191,2020-10-15 07:37:06,null,89
314,82610,2020-10-15 10:08:00,null,82
315,83940,2020-10-15 10:08:02,null,83
316,84941,2020-10-15 10:08:02,null,84
317,87943,2020-10-15 20:08:10,null,87
318,16549,2020-10-19 09:26:52,null,16
319,8389,2020-10-19 09:34:01,null,8
320,83976,2020-10-20 17:48:41,null,83
321,82102,2020-10-21 14:58:09,null,82
322,84523,2020-10-21 18:52:48,null,84
323,89526,2020-10-22 03:27:22,null,89
324,86797,2020-10-22 07:36:23,null,86
325,83538,2020-10-22 18:00:30,null,83
326,87995,2020-10-22 19:51:11,null,87
327,88154,2020-10-23 19:51:54,null,88
328,85369,2020-10-24 18:58:56,null,85
329,82887,2020-10-28 14:55:34,null,82
330,84964,2020-10-28 20:12:00,null,84
332,86501,2020-11-04 20:11:14,null,86
333,89213,2020-11-04 23:10:45,null,89
334,89907,2020-11-06 15:09:02,null,89
336,91586,2020-11-09 10:21:26,null,91
337,89406,2020-11-12 08:00:18,null,89
338,7147,2020-11-12 19:21:41,null,7
339,91276,2020-11-16 11:10:06,null,91
340,97480,2020-11-17 19:55:55,null,97
341,98732,2020-11-18 19:45:04,null,98
342,86708,2020-11-18 20:30:13,null,86
343,98327,2020-11-19 11:41:01,null,98
344,97507,2020-11-19 11:45:12,null,97
345,83873,2020-11-19 17:56:53,null,83
346,85522,2020-11-21 09:30:43,null,85
347,99974,2020-11-23 18:18:06,null,99
348,16703,2020-11-24 11:25:29,null,16
349,97958,2020-11-24 22:03:41,null,97
350,97801,2020-11-26 15:28:06,null,97
351,97434,2020-12-01 22:25:59,null,97
352,98812,2020-12-02 19:50:37,null,98
353,83947,2020-12-03 20:09:48,null,83
354,97459,2020-12-08 21:16:16,null,97
355,98383,2020-12-09 16:47:51,null,98
356,97130,2020-12-11 18:19:59,null,97
357,97961,2020-12-15 16:57:19,null,97
358,98183,2020-12-16 16:13:01,null,98
359,97197,2020-12-21 20:22:12,null,97
360,97745,2020-12-23 14:40:05,null,97
361,97964,2021-01-05 20:05:27,null,97
362,17993,2021-01-06 18:01:01,null,17
363,18276,2021-01-06 18:45:41,null,18
364,84931,2021-01-06 18:45:46,null,84
367,103144,2021-01-07 08:07:26,null,103
369,104774,2021-01-09 15:10:38,null,104
370,104917,2021-01-10 14:09:24,null,104
371,7153,2021-01-10 21:03:20,null,7
372,104655,2021-01-11 09:53:36,null,104
373,104743,2021-01-12 18:49:09,null,104
374,104922,2021-01-13 09:24:09,null,104
375,103949,2021-01-14 07:55:50,null,103
376,104228,2021-01-14 08:57:33,null,104
377,104626,2021-01-15 09:12:26,null,104
378,103919,2021-01-18 07:40:30,null,103
379,82559,2021-01-20 14:53:28,null,82
380,103229,2021-01-21 07:35:05,null,103
381,97195,2021-01-22 14:54:07,null,97
382,103350,2021-01-25 08:35:28,null,103
383,83515,2021-01-26 17:47:26,null,83
384,103326,2021-01-29 07:14:19,null,103
385,49473,2021-02-16 23:33:17,null,49
386,105176,2021-04-06 09:09:35,null,105
387,73539,2021-04-10 14:04:20,null,73
388,106215,2021-04-10 14:07:45,null,106
389,105558,2021-04-12 21:36:53,null,105
390,106180,2021-04-17 14:04:49,null,106
391,48505,2021-04-19 11:01:45,null,48
392,105292,2021-04-19 21:25:08,null,105
393,48213,2021-04-21 12:16:04,null,48
394,113579,2021-04-22 16:44:57,null,113
395,107594,2021-04-22 20:11:12,null,107
396,115832,2021-04-22 22:35:02,null,115
397,114430,2021-04-23 14:53:50,null,114
398,8544,2021-04-23 15:10:39,null,8
399,115950,2021-04-23 22:31:29,null,115
400,106825,2021-04-24 12:10:37,null,106
401,105371,2021-04-27 07:11:01,null,105
402,125401,2021-04-27 15:00:56,null,125
403,124248,2021-04-27 15:02:24,null,124
404,121552,2021-04-27 19:52:00,null,121
405,130842,2021-04-27 19:52:42,null,130
406,121237,2021-04-28 13:14:25,null,121
407,115540,2021-04-28 17:03:07,null,115
408,123674,2021-04-29 09:52:14,null,123
409,131428,2021-04-29 12:00:07,null,131
410,117203,2021-04-29 12:58:23,null,117
411,113165,2021-04-29 16:21:44,null,113
412,114856,2021-04-30 17:13:42,null,114
413,122629,2021-05-02 15:08:38,null,122
414,117913,2021-05-04 15:47:51,null,117
415,130510,2021-05-04 21:15:36,null,130
416,120646,2021-05-05 08:45:18,null,120
417,116499,2021-05-05 11:00:52,null,116
418,121437,2021-05-05 11:03:07,null,121
419,131342,2021-05-05 20:32:49,null,131
420,122120,2021-05-05 20:35:02,null,122
421,117945,2021-05-06 21:50:54,null,117
422,129166,2021-05-07 09:52:43,null,129
423,114307,2021-05-07 15:04:05,null,114
424,109288,2021-05-07 18:10:10,null,109
425,118902,2021-05-09 11:19:35,null,118
426,105716,2021-05-10 20:29:15,null,105
427,122850,2021-05-11 12:44:40,null,122
428,117379,2021-05-11 15:42:51,null,117
429,130186,2021-05-11 17:45:47,null,130
430,121120,2021-05-11 17:49:12,null,121
431,120992,2021-05-12 09:06:28,null,120
432,122316,2021-05-12 15:04:05,null,122
433,115791,2021-05-12 16:20:02,null,115
434,121933,2021-05-12 21:29:23,null,121
435,123205,2021-05-13 11:10:26,null,123
436,116609,2021-05-13 15:44:32,null,116
437,113992,2021-05-13 16:20:13,null,113
438,132876,2021-05-13 16:58:26,null,132
439,47264,2021-05-13 20:08:18,null,47
440,129137,2021-05-14 09:12:59,null,129
441,16318,2021-05-14 17:50:42,null,16
442,114160,2021-05-14 19:24:07,null,114
443,125514,2021-05-17 09:41:37,null,125
444,122679,2021-05-17 10:03:32,null,122
445,118236,2021-05-17 10:10:22,null,118
446,124108,2021-05-18 10:15:47,null,124
447,130822,2021-05-18 18:14:48,null,130
448,121492,2021-05-18 21:47:36,null,121
449,120816,2021-05-19 09:05:16,null,120
450,121814,2021-05-19 21:26:15,null,121
451,117221,2021-05-20 21:06:19,null,117
452,129484,2021-05-21 08:45:44,null,129
453,121602,2021-05-25 17:49:13,null,121
454,130642,2021-05-25 19:55:41,null,130
455,120735,2021-05-26 08:59:10,null,120
456,123843,2021-05-26 21:03:53,null,123
457,129749,2021-05-28 08:02:54,null,129
458,118965,2021-05-31 10:16:43,null,118
459,122565,2021-05-31 12:50:23,null,122
460,124264,2021-06-01 10:14:36,null,124
461,125221,2021-06-01 10:21:40,null,125
462,130557,2021-06-01 18:26:51,null,130
463,120941,2021-06-02 09:05:35,null,120
